ZIP_CODE,INSPECTION_TYPE,RESULT,INSPECTION_DATE
11412.0,Compliance,Passed,01/03/2020 10:00:46 AM
11370.0,Initial,Failed for Other R,10/23/2020 08:25:03 AM
10460.0,Initial,Failed for Other R,11/05/2020 12:00:54 PM
10463.0,BAIT,Bait applied,02/11/2020 10:20:49 AM
10463.0,BAIT,Monitoring visit,02/28/2020 11:30:47 AM
11433.0,Initial,Passed,11/05/2020 12:30:00 PM
11377.0,Compliance,Passed,12/24/2020 08:46:00 AM
11377.0,Initial,Failed for Other R,11/10/2020 11:19:06 AM
11364.0,Initial,Passed,07/24/2020 08:00:00 AM
11102.0,Initial,Rat Activity,07/29/2020 10:55:00 AM
11103.0,Initial,Passed,12/29/2020 09:35:00 AM
10301.0,Initial,Passed,10/30/2020 11:05:11 AM
11221.0,Compliance,Rat Activity,01/30/2020 02:55:00 PM
10026.0,Initial,Failed for Other R,12/04/2020 03:56:09 PM
10009.0,Initial,Passed,12/10/2020 11:00:28 AM
10026.0,Initial,Rat Activity,12/23/2020 09:01:34 AM
10003.0,Initial,Passed,12/23/2020 11:49:19 AM
10026.0,Compliance,Passed,02/10/2020 09:53:00 AM
11221.0,BAIT,Bait applied,02/10/2020 11:14:00 AM
10028.0,Initial,Rat Activity,12/23/2020 01:35:26 PM
11691.0,Compliance,Failed for Other R,03/09/2020 03:50:02 PM
10019.0,Initial,Passed,12/23/2020 10:20:15 AM
11230.0,Compliance,Passed,02/11/2020 09:55:00 AM
10308.0,Initial,Passed,12/16/2020 10:05:51 AM
10462.0,Initial,Failed for Other R,12/16/2020 11:20:17 AM
10039.0,Initial,Passed,12/14/2020 12:30:23 PM
10025.0,Initial,Rat Activity,08/25/2020 12:08:55 PM
10455.0,Initial,Passed,09/30/2020 11:15:22 AM
10031.0,Initial,Rat Activity,12/16/2020 03:40:40 PM
10462.0,Initial,Rat Activity,12/16/2020 12:11:59 PM
10462.0,BAIT,Bait applied,01/03/2020 10:10:02 AM
10002.0,Compliance,Passed,02/11/2020 03:48:00 PM
10312.0,Initial,Failed for Other R,12/15/2020 10:15:26 AM
11217.0,Compliance,Passed,11/06/2020 12:00:40 PM
10310.0,Initial,Rat Activity,01/06/2020 01:30:09 PM
11233.0,Initial,Passed,09/21/2020 08:00:31 AM
10028.0,BAIT,Bait applied,02/24/2020 12:40:52 PM
10028.0,BAIT,Bait applied,03/02/2020 12:10:59 PM
10028.0,BAIT,Bait applied,03/16/2020 12:05:17 PM
10039.0,Initial,Rat Activity,09/10/2020 02:30:26 PM
10039.0,Compliance,Passed,11/02/2020 02:30:33 PM
10028.0,BAIT,Bait applied,02/13/2020 11:50:37 AM
11217.0,Initial,Failed for Other R,09/11/2020 10:30:33 AM
11101.0,Initial,Failed for Other R,07/13/2020 09:40:00 AM
10036.0,Initial,Failed for Other R,02/03/2020 03:20:07 PM
10021.0,Initial,Passed,09/16/2020 10:46:01 AM
10039.0,Initial,Rat Activity,03/09/2020 11:25:19 AM
10039.0,Compliance,Failed for Other R,03/06/2020 09:31:00 AM
11434.0,Initial,Passed,11/19/2020 09:10:00 AM
10032.0,Initial,Passed,03/02/2020 04:10:21 PM
10002.0,Initial,Rat Activity,02/18/2020 10:27:45 AM
10065.0,Initial,Passed,12/16/2020 08:00:36 AM
10306.0,Initial,Rat Activity,03/06/2020 11:55:00 AM
10025.0,Compliance,Passed,02/07/2020 09:45:35 AM
10032.0,Initial,Rat Activity,10/22/2020 10:50:57 AM
10455.0,Compliance,Passed,01/08/2020 12:45:04 PM
10032.0,Compliance,Passed,12/03/2020 12:20:05 PM
10128.0,Initial,Failed for Other R,10/21/2020 09:20:49 AM
11215.0,Initial,Passed,10/05/2020 11:08:51 AM
10014.0,Initial,Passed,03/13/2020 03:25:57 PM
